id,l_33,l_70,l_101,l_4
doc002286,-1,-1,1,-1
doc002287,1,-1,-1,-1
doc002288,1,1,-1,1
doc002289,1,-1,-1,1
doc002290,1,-1,-1,-1
doc002291,-1,-1,1,-1
doc002292,-1,-1,1,-1
doc002293,1,-1,-1,-1
doc002294,-1,-1,-1,-1
doc002295,1,1,-1,-1
doc002296,1,1,-1,-1
doc002297,-1,-1,1,-1
doc002298,-1,-1,1,-1
doc002299,1,1,-1,-1
doc002300,-1,-1,1,-1
doc002301,-1,-1,1,-1
doc002302,1,-1,-1,-1
doc002303,-1,1,-1,-1
doc002304,1,1,-1,-1
doc002305,1,1,-1,-1
doc002306,1,1,-1,-1
doc002307,-1,-1,1,-1
doc002308,-1,-1,-1,-1
doc002309,-1,1,-1,-1
doc002310,-1,1,-1,-1
doc002311,1,1,-1,-1
doc002312,-1,1,-1,-1
doc002313,1,1,-1,-1
doc002314,-1,-1,1,-1
doc002315,1,-1,-1,1
doc002316,1,-1,-1,1
doc002317,1,-1,-1,-1
doc002318,1,-1,-1,-1
doc002319,-1,-1,1,-1
doc002320,1,-1,-1,-1
doc002321,1,-1,-1,-1
doc002322,-1,-1,1,-1
doc002323,1,-1,-1,-1
doc002324,-1,-1,-1,-1
doc002325,-1,-1,-1,-1
doc002326,1,-1,-1,1
doc002327,1,-1,-1,1
doc002328,1,1,-1,-1
doc002329,1,-1,-1,-1
doc002330,1,-1,-1,1
doc002331,1,-1,-1,1
doc002332,1,1,-1,-1
doc002333,1,-1,-1,-1
doc002334,-1,-1,-1,-1
doc002335,-1,-1,-1,-1
doc002336,-1,-1,1,-1
doc002337,1,-1,-1,1
doc002338,-1,-1,1,-1
doc002339,-1,-1,-1,-1
doc002340,-1,-1,-1,-1
doc002341,-1,-1,1,-1
doc002342,1,-1,-1,-1
doc002343,1,1,-1,-1
doc002344,1,-1,-1,1
doc002345,-1,1,-1,-1
doc002346,-1,1,-1,-1
doc002347,1,1,-1,-1
doc002348,1,-1,-1,-1
doc002352,-1,-1,-1,-1
doc002354,1,-1,-1,-1
doc002355,-1,-1,-1,-1
doc002356,-1,-1,-1,-1
doc002359,1,-1,-1,1
doc002360,1,-1,-1,-1
doc002361,-1,-1,-1,-1
doc002362,-1,-1,-1,-1
doc002363,-1,-1,-1,-1
doc002364,-1,-1,-1,-1
doc002365,-1,-1,-1,-1
doc002366,1,-1,-1,-1
doc002369,1,-1,-1,-1
doc002371,-1,-1,-1,-1
doc002372,-1,-1,-1,-1
doc002374,-1,-1,-1,-1
doc002375,-1,-1,-1,-1
doc002376,1,-1,-1,-1
doc002380,-1,-1,-1,-1
